epoch,train_loss,train_acc,val_loss,val_acc
1,0.9138312096226701,0.6017212123484799,0.7990189913146651,0.6642202511571299
2,0.8064752225588909,0.6580590424584463,0.7739611945876125,0.6675579486990356
3,0.7887549918034896,0.6626198801901209,0.7635350676042234,0.6723155507200944
4,0.7785255644025488,0.6645323383550985,0.7575582505639777,0.6735141713843147
5,0.7734422374609169,0.6657557490929886,0.7550718201563301,0.6719836249976949
6,0.7693780407372814,0.6662573006215489,0.7533110456375315,0.673587932655959
7,0.7672866154877518,0.6661401156849693,0.750304712834879,0.6734035294768482
8,0.7638743436954865,0.6672275918964272,0.7486659451703908,0.673145365026093
9,0.7627013645895272,0.6666932285856247,0.7520660837595404,0.6709325268767633
10,0.7603749253272,0.6677760173996193,0.745854683668144,0.6734772907484925
11,0.7586037293902813,0.6681931957738424,0.7452818607437228,0.6732006859798263
12,0.7575861897863424,0.6682681941332533,0.744908539721377,0.6726105958066717
13,0.7562404254103535,0.6685072514038756,0.7444940911479108,0.6738829777425362
14,0.7555513968644868,0.6684088160571487,0.741935210172878,0.6737170148813365
15,0.7546842742678582,0.6687181842897186,0.7413943220561864,0.6731638053440041
16,0.7534922391391634,0.6688963053933196,0.7419820476366163,0.6756716885799111
17,0.7531294503477866,0.6693744199345639,0.7423241865927507,0.6741042615574693
18,0.751810099435783,0.6691587996512576,0.7425654358214817,0.6719651846797838
19,0.7512297924988977,0.6689150549831723,0.7387672402428359,0.675413524129156
20,0.7511560007975762,0.6689056801882459,0.7430095059733315,0.6748971952276457
21,0.7500513389603656,0.6692853593827635,0.7406396939497334,0.6739014180604473
22,0.7489952260168588,0.6705087701206536,0.7394869323467399,0.6741411421932915
23,0.7497570744360429,0.6693837947294903,0.7393560039139561,0.6747865533201792
24,0.7486233553621641,0.6707290778014231,0.7375144038151753,0.6755794869903557
25,0.7481867227681366,0.6702509632601786,0.737419078813196,0.6775526010068413
