epoch,train_loss,train_acc,val_loss,val_acc
1,2.214695251184474,0.44107003909289483,1.8372875696729634,0.517029633590883
2,1.817366590769233,0.502104641460968,1.7175970510703211,0.40834239982297293
3,1.425363472820067,0.4472339667569772,1.0335467626520516,0.5411495694185767
4,1.0112130306651699,0.5312883780667298,0.9783500539847405,0.5565472348743292
5,0.9816006533095046,0.5522832313043152,0.9635785308236201,0.5641077652178723
6,0.9513640187962976,0.5716703072120297,0.9291113404794692,0.588909992808276
7,0.9278607158515538,0.5885496254769427,0.9198050168916067,0.595530066938354
8,0.9223222974485081,0.5917417431493686,0.9105428606576752,0.6065942576850025
9,0.9045488206824978,0.6100460302430885,0.8896486957699408,0.6268417267513692
10,0.8914590026537518,0.6267941013790324,0.8858000733307703,0.6323922624426045
11,0.8884813081253825,0.6303237116688073,0.8783002351527041,0.6259934721274595
12,0.8786834977459421,0.6328314693116088,0.8699852765121967,0.64391746113703
13,0.8737782846051979,0.6370876262081767,0.8684952500289475,0.644821036714673
14,0.8705072198783789,0.6385641564090786,0.8613590620539598,0.6488225857013775
15,0.8627655888717635,0.6429984344092473,0.8557270196186768,0.6495601984178208
16,0.8604373006872579,0.6435281103225867,0.8547305642638532,0.6490254291983993
17,0.8578451164912996,0.6444515276228332,0.8500707861795903,0.6553135776060779
18,0.8533571219497694,0.6485530004031161,0.8476546376717717,0.6556086226926552
19,0.8522173822102692,0.6474748989865847,0.8470923964430646,0.6566228401777646
20,0.8496411644144235,0.6495795404475527,0.8431983715734453,0.6584668719688728
21,0.8466454972774381,0.6512201295596659,0.8412927570567064,0.6565490789061204
22,0.8457924773988144,0.651065445443381,0.8396127878939238,0.6576370576628741
23,0.8430606541479249,0.6523029183736606,0.836958809414549,0.6580427446569179
24,0.8413297018907124,0.652832594287,0.8362959760881745,0.6586512751479836
25,0.8413936647330821,0.6522935435787343,0.8348278599531577,0.6587987976912721
